                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     0.75000 solar
                                             L    =     0.18800 solar
                                             R    =     0.98181 solar
                                             Teff =  3839.00000 K    
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  6.829e+08          0          0  7.217e+25  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  r 99.9
    1  6.822e+08  2.385e-01  3.919e-14  7.217e+25  2.564e+03  5.145e-01  1.467e-08  4.762e+01 5.286e-115  r  1.0
    2  6.822e+08  5.337e-01  1.176e-13  7.217e+25  6.933e+03  4.801e+00  4.544e-08  3.656e+00  1.535e-84  c  1.8
    3  6.815e+08  6.060e-01  2.606e-13  7.217e+25  1.131e+04  1.265e+01  5.634e-08  8.102e-01  5.290e-73  c  1.9
    4  6.808e+08  6.223e-01  3.723e-13  7.217e+25  1.569e+04  1.881e+01  1.674e-08  1.273e-01  7.384e-67  c  1.2
    5  6.801e+08  6.319e-01  6.023e-13  7.217e+25  2.009e+04  3.155e+01  1.173e-07  2.210e-01  1.876e-61  c  2.1
    6  6.794e+08  6.521e-01  9.144e-13  7.217e+25  2.229e+04  4.887e+01  1.638e-07  2.038e-01  1.686e-59  r  4.1
    7  6.788e+08  6.639e-01  1.245e-12  7.217e+25  2.229e+04  6.734e+01  1.723e-08  6.198e-02  1.773e-60  r 99.9
    8  6.781e+08  6.650e-01  1.304e-12  7.217e+25  2.229e+04  7.064e+01  2.828e-08  7.560e-02  2.911e-60  r 99.9
    9  6.774e+08  6.672e-01  1.401e-12  7.217e+25  2.229e+04  7.607e+01  4.647e-08  9.591e-02  4.783e-60  r 99.9
   10  6.767e+08  6.720e-01  1.559e-12  7.217e+25  2.229e+04  8.501e+01  7.643e-08  1.262e-01  7.867e-60  r 99.9
   11  6.760e+08  6.827e-01  1.819e-12  7.217e+25  2.229e+04  9.975e+01  1.258e-07  1.715e-01  1.295e-59  r 99.9
   12  6.753e+08  7.070e-01  2.247e-12  7.217e+25  2.229e+04  1.241e+02  2.074e-07  2.391e-01  2.135e-59  r 99.9
   13  6.747e+08  7.637e-01  2.951e-12  7.217e+25  2.229e+04  1.643e+02  3.421e-07  3.402e-01  3.524e-59  r 99.9
   14  6.740e+08  8.982e-01  4.110e-12  7.217e+25  2.229e+04  2.308e+02  5.650e-07  4.916e-01  5.824e-59  r 99.9
   15  6.733e+08  1.222e+00  6.022e-12  7.217e+25  2.229e+04  3.409e+02  9.339e-07  7.182e-01  9.647e-59  r 99.9
   16  6.726e+08  2.009e+00  9.177e-12  7.217e+25  2.229e+04  5.234e+02  1.545e-06  1.058e+00  1.604e-58  r 99.9
   17  6.719e+08  3.934e+00  1.439e-11  7.217e+25  2.230e+04  8.260e+02  2.558e-06  1.565e+00  2.688e-58  r 99.9
   18  6.712e+08  8.660e+00  2.300e-11  7.217e+25  2.231e+04  1.328e+03  4.236e-06  2.322e+00  4.585e-58  r 99.9
   19  6.706e+08  2.025e+01  3.723e-11  7.217e+25  2.236e+04  2.161e+03  7.010e-06  3.438e+00  8.160e-58  r 99.9
   20  6.699e+08  4.837e+01  6.069e-11  7.217e+25  2.245e+04  3.540e+03  1.156e-05  5.039e+00  1.603e-57  r 99.9
